timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1781204400,Jun 11 2026 - 7:00pm,complete,80824,Mexico,South Africa,N/A,1,0.00,0.00,2.40,1.00,2,0,2,1,1,0,"9,67","",3,1,1,1,2,2,1,1,1,3,16,3,4,2,12,1,12,11,61,39,0.00,0.00,1.50,0.54,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.40,4.40,7.75,1.35,2.20,4.00,8.00,2.38,1.50,Estadio Azteca
1781229600,Jun 12 2026 - 2:00am,complete,44985,South Korea,Czech Republic,N/A,1,0.00,0.00,1.00,0.33,2,1,3,0,0,0,"67,80","59",4,5,1,0,0,0,0,1,0,0,15,7,6,4,9,3,9,16,62,38,0.00,0.00,1.65,1.04,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.46,3.00,2.74,1.40,2.25,4.20,9.00,1.95,1.83,Estadio AKRON
1781290800,Jun 12 2026 - 7:00pm,complete,43002,Canada,Bosnia and Herzegovina,N/A,1,0.00,0.00,1.40,1.00,1,1,2,1,0,1,"78","21",9,4,2,0,3,0,1,1,2,1,13,8,4,3,9,5,10,20,61,39,0.00,0.00,1.69,0.87,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,3.50,4.70,1.40,2.30,4.20,9.50,2.00,1.66,N/A
1781312400,Jun 13 2026 - 1:00am,complete,70492,USMNT,Paraguay,N/A,1,0.00,0.00,1.80,1.00,4,1,5,3,3,0,"7,31,45'5,90'8","73",3,1,1,0,5,0,0,1,1,4,16,9,6,1,10,8,13,17,65,35,0.00,0.00,2.10,0.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.98,3.30,3.60,1.47,2.38,5.00,10.50,2.02,1.70,N/A
1781377200,Jun 13 2026 - 7:00pm,complete,67966,Qatar,Switzerland,N/A,1,0.00,0.00,0.33,1.83,1,1,2,1,0,1,"90'4","17",3,10,2,0,1,0,2,0,1,0,6,26,3,7,3,19,12,11,32,68,0.00,0.00,0.71,2.76,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,11.00,6.50,1.20,1.15,1.57,2.53,4.75,2.20,1.62,N/A
1781388000,Jun 13 2026 - 10:00pm,complete,80663,Brazil,Morocco,N/A,1,0.00,0.00,2.00,1.83,1,1,2,2,1,1,"32","21",6,2,2,0,0,0,2,0,0,0,12,14,5,3,7,11,16,14,51,49,0.00,0.00,1.36,1.44,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.65,3.75,4.82,1.38,2.20,3.75,9.50,2.10,1.75,N/A
1781398800,Jun 14 2026 - 1:00am,complete,64146,Haiti,Scotland,N/A,1,0.00,0.00,0.00,1.00,0,1,1,1,0,1,"","28",4,3,1,0,3,0,1,0,0,3,15,9,2,2,13,7,23,21,54,46,0.00,0.00,1.43,0.99,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.40,4.33,1.42,1.18,1.62,2.50,4.40,1.73,2.05,Gillette Stadium
1781409600,Jun 14 2026 - 4:00am,complete,52497,Australia,Turkey,N/A,1,0.00,0.00,1.25,1.00,2,0,2,1,1,0,"27,75","",5,8,0,0,1,0,0,0,0,1,9,30,4,8,5,22,12,4,28,72,0.00,0.00,1.10,3.19,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.36,3.85,1.75,1.30,2.09,3.66,8.50,1.85,1.75,BC Place Stadium
1781456400,Jun 14 2026 - 5:00pm,complete,68021,Germany,Curaçao,N/A,1,0.00,0.00,1.75,0.33,7,1,8,4,3,1,"6,38,45'5,47,68,78,88","21",8,1,0,0,0,0,0,0,0,0,26,8,12,2,14,6,18,11,65,35,0.00,0.00,3.06,0.81,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.05,15.00,51.00,1.04,1.14,1.47,2.10,3.00,1.36,N/A
1781467200,Jun 14 2026 - 8:00pm,complete,69285,Netherlands,Japan,N/A,1,0.00,0.00,2.00,1.25,2,2,4,0,0,0,"51,64","57,89",5,4,3,0,0,0,0,3,0,0,10,10,6,3,4,7,7,7,60,40,0.00,0.00,1.49,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.50,3.60,1.29,2.05,3.44,8.50,1.85,1.87,N/A
