team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Mexico National Team,Mexico,2026,Mexico,5,4,1,0,4,3,1,0,0,0,1,1,0,2.4,2.25,3,1,0,0,5,10,3,7,13,10,3,7,3,3,0,4,3,45,51,30,150,120,0,4,3,1,1,1,0,0,0,0,4,3,1,19,18,1,6,5,1,52,53,48,70,59,11,21,16,5,49,43,6,58,45,13,4,4,0,2,2,0,2,2,0,2,2,0,2,1,1,1,1,0,1.6,1.75,1,2.6,2.5,3,2,1.75,3,0.6,0.75,0,1.2,1.5,0,0.8,1,0,0.4,0.5,0,5,4,2,1,1,0,4,3,1,1,1,0,1,1,1,0,0,0,0,1,3,4,4,5,0,1,3,3,3,4,0,0,0,1,1,1,100,80,40,20,20,0,100,75,25,25,25,0,100,100,100,0,0,0,0,20,60,80,80,100,0,25,75,75,75,100,0,0,0,100,100,100,3,2,1,3,2,1,0,0,0,60,40,20,75,50,25,0,0,0,80,75,100,-19,80,75,100,20,25,0,0,0,0,80,75,100,4,3,1,80,75,100,2,1,1,40,25,100,1,1,0,20,25,0,40,50,0,40,25,100,20,25,0,3.80,4.50,1.00,1.2,1.25,1.00,40,40,40,40,40,20,20,20,1.45,1.49,1.27,0.89,0.84,1.10,80,1,0,1,1,2,1,3,0,1,0,0,0,2,0,1,0,0,0,0,0,0,20,25,0,0
Algeria National Team,Algeria,2026,Algeria,4,1,3,0,1,0,1,1,1,0,2,0,2,1,1,1,3,0,0,27,5,9,-4,14,6,8,3,2,3,6,0,-4,72,30,134,40,30,45,0,0,0,2,1,1,2,0,2,0,0,0,14,0,14,3,0,3,61,65,60,44,12,32,15,5,10,29,7,22,29,3,26,1,1,0,4,1,3,-3,0,-3,0,0,0,1,1,0,3,0,3,0.25,1,0,3.5,6,2.67,1.25,3,0.67,2.25,3,2,1.25,2,1,0.25,1,0,1,1,1,4,4,3,1,1,1,1,1,1,1,1,1,3,3,2,0,0,0,0,0,1,3,3,3,0,0,0,0,0,0,0,0,1,3,3,3,100,100,75,25,25,25,100,100,100,100,100,100,100,100,67,0,0,0,0,0,25,75,75,75,0,0,0,0,0,0,0,0,33,100,100,100,4,1,0,1,1,0,3,0,0,100,25,0,100,100,0,100,0,0,25,0,33,54,0,0,0,50,100,33,50,0,67,0,0,0,0,0,0,0,0,0,3,0,3,75,0,100,1,1,0,25,100,0,0,0,0,25,100,0,75,0,100,3.50,0.00,4.67,0.75,0,1.00,25,25,25,25,25,0,0,0,1.34,1.44,1.31,1.15,1.13,1.16,0,0,0,0,0,1,1,1,0,2,1,1,1,1,1,2,0,1,1,25,100,0,50,0,67,0
Colombia National Team,Colombia,2026,Colombia,5,3,2,0,3,2,1,2,1,1,0,0,0,2.2,2.33,2,1,0,0,7,5,1,4,6,2,4,2,3,0,1,2,2,90,134,60,450,0,180,4,3,1,1,0,1,2,1,1,3,2,1,24,13,11,8,5,3,58,60,54,94,64,30,30,23,7,64,41,23,70,38,32,2,1,1,0,0,0,2,1,1,2,1,1,3,2,1,0,0,0,1.8,1.67,2,1.2,0.67,2,1,0.67,1.5,0.2,0,0.5,0.4,0.33,0.5,0.4,0.33,0.5,0,0,0,3,1,1,1,0,0,2,0,0,0,0,0,1,1,1,1,0,0,2,4,4,4,5,5,1,3,3,3,3,3,1,1,1,1,2,2,60,20,20,20,0,0,67,0,0,0,0,0,50,50,50,50,0,0,40,80,80,80,100,100,33,100,100,100,100,100,50,50,50,50,100,100,2,0,0,1,0,0,1,0,0,40,0,0,33,0,0,50,0,0,60,67,50,34,80,100,50,20,0,50,40,33,50,60,67,50,5,3,2,100,100,100,3,2,1,60,67,50,0,0,0,0,0,0,40,33,50,60,67,50,0,0,0,4.80,4.33,5.50,1.6,1.67,1.50,80,40,40,20,0,0,0,0,1.90,2.19,1.47,0.90,0.88,0.93,20,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,40,33,50,0,0,0,0
Senegal National Team,Senegal,2026,Senegal,4,1,3,0,1,1,0,0,0,0,3,0,3,0.75,3,0,3,0,0,31,10,9,1,19,5,14,5,5,0,9,5,-4,36,18,54,40,0,30,1,1,0,3,0,3,0,0,0,2,1,1,22,12,10,3,2,1,56,69,51,69,28,41,23,12,11,46,16,30,36,10,26,2,1,1,1,0,1,1,1,0,2,1,1,1,0,1,1,0,1,1.75,3,1.33,4.75,5,4.67,2.5,5,1.67,2.25,0,3,0.75,1,0.67,0.5,1,0.33,0.25,0,0.33,4,4,4,4,3,0,1,1,1,1,1,0,3,3,3,3,2,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,3,100,100,100,100,75,0,100,100,100,100,100,0,100,100,100,100,67,0,0,0,0,0,25,100,0,0,0,0,0,100,0,0,0,0,33,100,3,0,0,1,0,0,2,0,0,75,0,0,100,0,0,67,0,0,25,100,0,100,25,100,0,75,0,100,0,0,0,50,100,33,3,1,2,75,100,67,2,0,2,50,0,67,0,0,0,0,0,0,50,100,33,25,0,33,25,0,33,5.50,12.00,3.33,0.75,2,0.33,75,75,75,50,25,25,25,25,1.95,3.24,1.51,1.42,0.56,1.71,175,1,0,1,0,0,4,0,1,3,0,0,0,0,2,1,1,0,4,0,0,0,75,0,100,25
Canada National Team,Canada,2026,Canada,5,3,2,0,2,1,1,1,1,0,2,1,1,1.4,1.33,1.5,2,0,0,15,9,6,3,15,11,4,7,2,4,2,3,0,50,39,90,75,68,90,2,1,1,2,1,1,1,1,0,2,1,1,50,39,11,11,7,4,54,62,44,80,55,25,31,17,14,49,38,11,72,43,29,3,3,0,1,1,0,2,2,0,1,1,0,3,1,2,1,1,0,1.2,1.33,1,3,3.67,2,1.8,2.33,1,1.2,1.33,1,0.8,1.33,0,0.6,1,0,0.2,0.33,0,5,4,3,1,1,1,3,3,2,1,1,1,2,1,1,0,0,0,0,1,2,4,4,4,0,0,1,2,2,2,0,1,1,2,2,2,100,80,60,20,20,20,100,100,67,33,33,33,100,50,50,0,0,0,0,20,40,80,80,80,0,0,33,67,67,67,0,50,50,100,100,100,2,1,1,2,1,1,0,0,0,40,20,20,67,33,33,0,0,0,40,33,50,9,40,33,50,40,33,50,20,33,0,40,33,50,4,2,2,80,67,100,4,2,2,80,67,100,0,0,0,0,0,0,20,33,0,60,33,100,20,33,0,10.00,13.00,5.50,2.2,2.33,2.00,80,80,80,60,60,60,40,20,2.03,2.28,1.65,0.64,0.59,0.73,40,0,1,1,0,1,0,1,3,2,0,0,1,0,2,1,0,0,2,20,33,0,40,33,50,20
South Africa National Team,South Africa,2026,South Africa,4,2,2,0,1,1,0,1,0,1,2,1,1,1,1.5,0.5,2,0,0,23,2,4,-2,6,2,4,1,1,1,3,0,-2,180,180,180,90,180,60,1,1,0,1,0,1,2,1,1,1,1,0,11,5,6,9,1,8,48,45,51,39,19,20,11,5,6,28,14,14,38,17,21,0,0,0,2,0,2,-2,0,-2,0,0,0,2,2,0,2,0,2,0.5,1,0,1.5,1,2,0.5,0.5,0.5,1,0.5,1.5,0.5,0,1,0,0,0,0.5,0,1,4,2,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,2,4,4,4,4,0,2,2,2,2,2,0,0,2,2,2,2,100,50,0,0,0,0,100,0,0,0,0,0,100,100,0,0,0,0,0,50,100,100,100,100,0,100,100,100,100,100,0,0,100,100,100,100,2,0,0,0,0,0,2,0,0,50,0,0,0,0,0,100,0,0,25,50,0,25,25,50,0,25,0,50,50,50,50,25,50,0,2,2,0,50,100,0,4,2,2,100,100,100,0,0,0,0,0,0,0,0,0,50,100,0,50,0,100,2.75,2.50,3.00,2.25,0.5,4.00,50,50,50,50,0,0,0,0,1.02,0.94,1.10,1.46,1.51,1.41,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,1,25,0,50,50,50,50,0
Haiti National Team,Haiti,2026,Haiti,3,1,2,0,0,0,0,0,0,0,3,1,2,0,0,0,4,0,0,45,2,8,-6,10,1,9,0,2,1,7,-1,-5,134,0,90,34,90,26,0,0,0,1,0,1,2,1,1,1,0,1,9,4,5,7,1,6,43,54,37,31,15,16,7,2,5,24,13,11,55,23,32,2,0,2,6,1,5,-4,-1,-3,0,0,0,1,0,1,2,1,1,0.33,0,0.5,3.33,1,4.5,0.67,0,1,2.67,1,3.5,2.67,1,3.5,0.67,0,1,2,1,2.5,3,2,2,1,1,1,1,0,0,0,0,0,2,2,2,1,1,1,0,1,1,2,2,2,0,1,1,1,1,1,0,0,0,1,1,1,100,67,67,33,33,33,100,0,0,0,0,0,100,100,100,50,50,50,0,33,33,67,67,67,0,100,100,100,100,100,0,0,0,50,50,50,3,2,2,1,0,0,2,2,2,100,67,67,100,0,0,100,100,100,0,0,0,-19,0,0,0,33,0,50,67,100,50,33,0,50,0,0,0,0,0,0,2,1,1,67,100,50,1,0,1,33,0,50,0,0,0,33,0,50,67,100,50,3.00,4.00,2.50,2.33,1,3.00,100,67,33,33,0,0,0,0,1.05,1.43,0.86,1.58,0.99,1.88,100,1,0,0,0,1,0,0,0,0,0,0,2,2,2,0,0,1,1,0,0,0,100,100,100,0
Curaçao National Team,Curaçao,2026,Curaçao,3,1,2,0,0,0,0,1,0,1,2,1,1,0.33,0,0.5,4,0,0,40,1,9,-8,10,2,8,0,1,2,7,-2,-6,273,0,180,30,45,26,1,0,1,1,0,1,2,1,1,0,0,0,5,4,1,7,2,5,32,37,30,29,11,18,7,2,5,22,9,13,32,11,21,1,0,1,4,1,3,-3,-1,-2,0,0,0,1,0,1,2,1,1,0.33,0,0.5,3.33,2,4,0.33,0,0.5,3,2,3.5,1.67,1,2,0.33,0,0.5,1.33,1,1.5,2,2,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,0,0,1,1,1,1,1,1,1,1,1,1,67,67,33,33,33,33,100,100,0,0,0,0,50,50,50,50,50,50,33,33,67,67,67,67,0,0,100,100,100,100,50,50,50,50,50,50,2,1,1,1,0,0,1,1,1,67,33,33,100,0,0,50,50,50,0,0,0,-34,33,0,50,33,0,50,67,100,50,0,0,0,1,0,1,33,0,50,2,1,1,67,100,50,1,0,1,33,0,50,0,0,0,33,0,50,67,100,50,1.67,4.00,0.50,2.33,2,2.50,100,100,100,33,0,0,0,0,0.97,1.11,0.90,2.52,1.06,3.25,133,0,0,1,0,0,0,0,0,0,2,0,0,1,2,0,2,1,1,33,0,50,67,100,50,0
Paraguay National Team,Paraguay,2026,Paraguay,5,2,3,0,1,0,1,2,1,1,2,1,1,1,0.5,1.33,3,0,0,21,3,6,-3,9,1,8,0,3,1,5,-1,-2,150,0,90,75,180,54,2,1,1,2,0,2,2,2,0,2,0,2,10,3,7,11,1,10,30,34,27,35,12,23,8,2,6,27,10,17,66,22,44,2,0,2,3,0,3,-1,0,-1,2,0,2,2,2,0,1,0,1,1.6,1,2,1.8,0.5,2.67,0.6,0,1,1.2,0.5,1.67,1,0,1.67,0.4,0,0.67,0.6,0,1,4,2,1,1,1,0,1,0,0,0,0,0,3,2,1,1,1,0,1,3,4,4,4,5,1,2,2,2,2,2,0,1,2,2,2,3,80,40,20,20,20,0,50,0,0,0,0,0,100,67,33,33,33,0,20,60,80,80,80,100,50,100,100,100,100,100,0,33,67,67,67,100,3,1,1,0,0,0,3,1,1,60,20,20,0,0,0,100,33,33,20,0,33,-21,40,50,33,40,0,67,40,100,0,40,0,67,4,2,2,80,100,67,3,2,1,60,100,33,0,0,0,0,0,0,40,0,67,40,100,0,20,0,33,2.00,1.50,2.33,2.2,0.5,3.33,60,60,60,60,60,60,40,40,0.73,0.60,0.82,2.29,1.67,2.70,20,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,40,50,33,40,50,33,20
Morocco National Team,Morocco,2026,Morocco,6,1,5,0,3,1,2,2,0,2,1,0,1,1.83,3,1.6,2,0,0,8,10,6,4,16,6,10,4,6,2,4,2,2,54,23,75,90,45,113,2,0,2,3,1,2,1,0,1,3,0,3,30,9,21,7,0,7,59,69,57,69,22,47,26,11,15,43,11,32,74,10,64,4,2,2,3,2,1,1,0,1,1,0,1,5,1,4,0,0,0,1.33,1,1.4,2.67,6,2,1.67,4,1.2,1,2,0.8,1.17,4,0.6,0.67,2,0.4,0.5,2,0.2,6,5,2,1,1,1,1,1,1,1,1,1,5,4,1,0,0,0,0,1,4,5,5,5,0,0,0,0,0,0,0,1,4,5,5,5,100,83,33,17,17,17,100,100,100,100,100,100,100,80,20,0,0,0,0,17,67,83,83,83,0,0,0,0,0,0,0,20,80,100,100,100,3,2,1,1,1,1,2,1,0,50,33,17,100,100,100,40,20,0,50,100,40,20,33,0,40,50,100,40,17,0,20,50,0,60,4,0,4,67,0,80,3,0,3,50,0,60,2,1,1,33,100,20,17,0,20,83,100,80,0,0,0,5.00,9.00,4.20,1.17,0,1.40,100,83,67,67,33,33,17,0,1.34,2.60,1.09,1.22,0.81,1.31,83,1,0,1,1,2,0,0,1,4,1,0,0,1,1,1,1,1,0,33,0,40,17,0,20,0
Egypt National Team,Egypt,2026,Egypt,5,1,4,0,1,0,1,3,1,2,1,0,1,1.2,1,1.25,2,0,0,19,8,7,1,15,2,13,1,7,1,6,0,1,56,90,51,64,90,60,0,0,0,5,1,4,0,0,0,4,1,3,26,8,18,12,3,9,51,61,49,67,15,52,18,3,15,49,12,37,59,11,48,4,1,3,2,1,1,2,0,2,3,0,3,1,1,0,1,0,1,2,1,2.25,3,2,3.25,1.6,1,1.75,1.4,1,1.5,1.2,2,1,0.8,1,0.75,0.4,1,0.25,5,5,2,2,1,0,1,1,0,0,0,0,4,4,2,2,1,0,0,0,3,3,4,5,0,0,1,1,1,1,0,0,2,2,3,4,100,100,40,40,20,0,100,100,0,0,0,0,100,100,50,50,25,0,0,0,60,60,80,100,0,0,100,100,100,100,0,0,50,50,75,100,5,1,0,1,1,0,4,0,0,100,20,0,100,100,0,100,0,0,20,0,25,-5,0,0,0,100,100,100,0,0,0,80,100,75,3,0,3,60,0,75,1,0,1,20,0,25,1,1,0,20,100,0,60,0,75,20,100,0,20,0,25,5.20,8.00,4.50,2.4,3,2.25,100,60,60,40,20,0,0,0,1.42,1.50,1.40,1.63,1.38,1.70,120,1,3,0,0,0,1,2,0,1,0,2,0,0,0,1,1,1,2,60,100,50,20,0,25,0
Tunisia National Team,Tunisia,2026,Tunisia,3,2,1,0,0,0,0,0,0,0,3,2,1,0,0,0,4,0,0,47,2,12,-10,14,8,6,1,1,7,5,-6,-4,134,180,90,23,26,18,0,0,0,2,1,1,1,1,0,0,0,0,9,7,2,1,0,1,39,34,51,18,12,6,6,4,2,12,8,4,27,19,8,1,0,1,6,4,2,-5,-4,-1,0,0,0,0,0,0,3,2,1,0,0,0,4.67,4,6,0.67,0.5,1,4,3.5,5,2.33,2,3,0.33,0,1,2,2,2,3,3,3,3,1,1,2,2,2,2,0,0,1,1,1,1,1,1,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,100,100,100,100,33,33,100,100,100,100,0,0,100,100,100,100,100,100,0,0,0,0,67,67,0,0,0,0,100,100,0,0,0,0,0,0,3,3,1,2,2,0,1,1,1,100,100,33,100,100,0,100,100,100,0,0,0,-6,0,0,0,67,50,100,33,50,0,0,0,0,0,0,0,0,0,0,2,2,0,67,100,0,1,0,1,33,0,100,0,0,0,0,0,0,100,100,100,3.00,3.50,2.00,0.33,0,1.00,67,67,33,33,0,0,0,0,0.73,0.69,0.83,1.76,1.83,1.63,100,0,0,0,0,1,1,0,0,0,4,0,1,1,0,1,2,0,3,0,0,0,100,100,100,0
Panama National Team,Panama,2026,Panama,3,2,1,0,0,0,0,0,0,0,3,2,1,0,0,0,4,0,0,48,0,4,-4,4,3,1,0,0,3,1,-3,-1,0,0,0,68,60,90,0,0,0,0,0,0,3,2,1,0,0,0,12,10,2,5,3,2,46,38,62,32,21,11,7,3,4,25,18,7,46,35,11,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,1,1,1,1.33,1.5,1,0,0,0,1.33,1.5,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,3,3,3,3,0,1,2,2,2,2,0,1,1,1,1,1,100,33,0,0,0,0,100,50,0,0,0,0,100,0,0,0,0,0,0,67,100,100,100,100,0,50,100,100,100,100,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,100,100,100,0,0,0,3,2,1,100,100,100,3,2,1,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,4.00,5.00,2.00,1.67,1.5,2.00,67,67,67,33,0,0,0,0,1.18,1.06,1.41,1.22,1.42,0.85,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,100,100,100,0
New Zealand National Team,New Zealand,2026,New Zealand,3,2,1,0,0,0,0,1,0,1,2,2,0,0.33,0,1,4,0,0,41,4,10,-6,14,10,4,2,2,8,2,-6,0,68,90,45,27,23,45,0,0,0,3,2,1,0,0,0,2,1,1,10,9,1,4,4,0,47,45,51,31,17,14,15,7,8,16,10,6,32,24,8,2,1,1,2,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1.33,1.5,1,4.67,5,4,1.33,1,2,3.33,4,2,1.33,1,2,0.67,0.5,1,0.67,0.5,1,3,3,3,3,1,1,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,100,100,100,100,33,33,100,100,100,100,50,50,100,100,100,100,0,0,0,0,0,0,67,67,0,0,0,0,50,50,0,0,0,0,100,100,3,1,0,2,0,0,1,1,0,100,33,0,100,0,0,100,100,0,0,0,0,-23,0,0,0,100,100,100,0,0,0,67,50,100,1,1,0,33,50,0,1,1,0,33,50,0,1,0,1,33,0,100,33,50,0,33,0,100,33,50,0,3.33,4.50,1.00,1.33,2,0.00,67,33,33,33,33,33,33,0,1.29,1.06,1.77,2.40,2.73,1.75,133,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,3,0,3,33,0,100,67,100,0,0
Cape Verde Islands National Team,Cape Verde Islands,2026,Cape Verde,4,1,3,0,0,0,0,3,1,2,1,0,1,0.75,1,0.67,2,0,0,32,4,5,-1,9,0,9,0,4,0,5,0,-1,90,0,68,72,0,54,2,1,1,2,0,2,2,1,1,2,0,2,17,4,13,5,1,4,37,51,32,49,15,34,12,2,10,37,13,24,27,10,17,1,0,1,3,0,3,-2,0,-2,0,0,0,2,1,1,2,0,2,0.5,1,0.33,2.25,0,3,1,0,1.33,1.25,0,1.67,1,0,1.33,0.25,0,0.33,0.75,0,1,2,2,2,2,1,0,0,0,0,0,0,0,2,2,2,2,1,0,2,2,2,2,3,4,1,1,1,1,1,1,1,1,1,1,2,3,50,50,50,50,25,0,0,0,0,0,0,0,67,67,67,67,33,0,50,50,50,50,75,100,100,100,100,100,100,100,33,33,33,33,67,100,2,1,1,0,0,0,2,1,1,50,25,25,0,0,0,67,33,33,0,0,0,0,50,100,33,50,0,67,50,100,33,50,0,67,2,1,1,50,100,33,3,1,2,75,100,67,1,0,1,25,0,33,0,0,0,50,100,33,50,0,67,4.25,4.00,4.33,1.25,1,1.33,75,75,75,75,75,75,50,50,1.19,1.45,1.10,2.16,0.96,2.56,25,0,0,1,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,75,100,67,25,0,33,50
Czech Republic National Team,Czech Republic,2026,Czech Republic,3,2,1,0,0,0,0,1,1,0,2,1,1,0.33,0.5,0,4,0,0,42,2,6,-4,8,5,3,1,1,4,2,-3,-1,134,180,90,45,45,45,0,0,0,2,1,1,1,1,0,2,1,1,15,10,5,1,1,0,43,45,38,34,27,7,8,4,4,26,23,3,37,21,16,1,1,0,0,0,0,1,1,0,1,1,0,2,1,1,0,0,0,1.67,2,1,2.67,2.5,3,0.67,0.5,1,2,2,2,0.33,0.5,0,0.33,0.5,0,0,0,0,3,3,2,0,0,0,2,2,1,0,0,0,1,1,1,0,0,0,0,0,1,3,3,3,0,0,1,2,2,2,0,0,0,1,1,1,100,100,67,0,0,0,100,100,50,0,0,0,100,100,100,0,0,0,0,0,33,100,100,100,0,0,50,100,100,100,0,0,0,100,100,100,1,0,0,1,0,0,0,0,0,33,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,67,50,100,33,50,0,67,50,100,3,2,1,100,100,100,2,1,1,67,50,100,0,0,0,0,0,0,33,50,0,67,50,100,0,0,0,5.00,5.00,5.00,0.33,0.5,0.00,67,67,67,33,0,0,0,0,1.15,1.21,1.04,1.52,1.46,1.65,67,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,2,33,50,0,67,50,100,0
Sweden National Team,Sweden,2026,Sweden,4,1,3,0,1,1,0,1,0,1,2,0,2,1,3,0.33,3,0,0,26,7,10,-3,17,6,11,5,2,1,9,4,-7,51,18,134,36,90,30,0,0,0,3,1,2,1,0,1,1,1,0,18,4,14,5,0,5,46,49,45,48,13,35,23,7,16,25,6,19,43,10,33,2,2,0,4,1,3,-2,1,-3,1,1,0,1,0,1,2,0,2,1,3,0.33,4.25,6,3.67,1.75,5,0.67,2.5,1,3,1.5,3,1,0.5,2,0,1,1,1,4,4,3,2,2,2,1,1,1,1,1,1,3,3,2,1,1,1,0,0,1,2,2,2,0,0,0,0,0,0,0,0,1,2,2,2,100,100,75,50,50,50,100,100,100,100,100,100,100,100,67,33,33,33,0,0,25,50,50,50,0,0,0,0,0,0,0,0,33,67,67,67,3,2,1,1,1,1,2,1,0,75,50,25,100,100,100,67,33,0,25,100,0,123,0,0,0,75,100,67,25,0,33,25,100,0,1,0,1,25,0,33,3,0,3,75,0,100,1,1,0,25,100,0,25,100,0,25,0,33,50,0,67,4.50,4.00,4.67,1.25,0,1.67,75,50,50,50,0,0,0,0,1.51,1.63,1.47,1.54,0.83,1.77,125,1,0,1,0,0,2,1,0,2,1,1,0,0,3,3,0,1,1,25,0,33,50,0,67,0
